"","G","R","total_cost","beta","bias","mse","coverage"
"225",29,30,9860,0.5,0.013999253814277,0.0653230770253271,0.96
"226",30,29,9900,0.5,0.00600782015363088,0.0979713736104142,0.9
"227",31,28,9920,0.5,-0.0121753216719755,0.0725372062453885,0.91
"228",32,27,9920,0.5,-0.042317522687294,0.0588709732110545,0.97
"229",33,26,9900,0.5,-0.00364699033429777,0.0711153137488043,0.93
"230",34,25,9860,0.5,-0.0129701535822071,0.0646480062548245,0.94
"231",35,24,9800,0.5,0.0242786685400569,0.0696344042896893,0.96
"232",36,23,9720,0.5,0.00233405786354113,0.0554902397851076,0.95
"233",37,23,9990,0.5,0.0195769073518774,0.0589940468622349,0.95
"234",38,22,9880,0.5,0.0189281958855614,0.0563227494058325,0.94
"235",39,21,9750,0.5,0.00802312044652842,0.0583849296759548,0.96
"236",40,21,10000,0.5,0.0161557234714114,0.0567647498071567,0.94
"237",41,20,9840,0.5,-0.00962354496208245,0.0560739421827012,0.92
"238",42,19,9660,0.5,0.0599830896142763,0.0497141448075008,0.93
"239",43,19,9890,0.5,0.00535496497701993,0.0516961790785402,0.92
"240",44,18,9680,0.5,-0.0463291379692452,0.0523388716989264,0.94
"241",45,18,9900,0.5,0.013564950525267,0.0577531452923963,0.92
"242",46,17,9660,0.5,0.00587565961124603,0.0668827277218702,0.86
"243",47,17,9870,0.5,-0.00340561154408664,0.0486781697655315,0.92
"244",48,16,9600,0.5,0.00745598903677636,0.037450073530566,0.97
"245",49,16,9800,0.5,-0.00548058131123924,0.0419739085847574,0.96
"246",50,16,10000,0.5,0.0247854174024537,0.0396308067561399,0.95
"247",51,15,9690,0.5,0.00928580210245888,0.0378786715838044,0.94
"248",52,15,9880,0.5,-0.00548521017102815,0.0420938872566554,0.95
"249",53,14,9540,0.5,0.00633857163285556,0.0421927886164626,0.95
"250",54,14,9720,0.5,0.00528592356752711,0.0330342599040361,0.97
"251",55,14,9900,0.5,0.000168955552566796,0.0501460874809408,0.94
"252",56,13,9520,0.5,-0.0100868494909396,0.0424110326316719,0.92
"253",57,13,9690,0.5,-0.0194152372924059,0.0451452221596263,0.93
"254",58,13,9860,0.5,0.00353971459930347,0.0414023427512405,0.93
"255",59,12,9440,0.5,-0.034647429468376,0.0376153177898926,0.94
"256",60,12,9600,0.5,-0.0128281770581123,0.0420484902799243,0.9
"257",61,12,9760,0.5,0.00959489847138106,0.0492504470500503,0.9
"258",62,12,9920,0.5,0.00989840570433864,0.0445176130242051,0.93
"259",63,11,9450,0.5,-0.021913644757318,0.0373966192925238,0.95
"260",64,11,9600,0.5,0.0150556579470837,0.0288136228047002,0.94
"261",65,11,9750,0.5,0.00210404320491786,0.0257348246891151,0.98
"262",66,11,9900,0.5,0.0243780092873405,0.0354163838849159,0.92
"263",67,10,9380,0.5,0.00700040856870521,0.0377446022944589,0.94
"264",68,10,9520,0.5,-0.0054347379472523,0.0320498926129555,0.93
"265",69,10,9660,0.5,0.0240845289305015,0.0283844291923438,0.98
"266",70,10,9800,0.5,0.00229553461473286,0.0263195262816165,0.97
"267",71,10,9940,0.5,-0.00342097854317186,0.032307397272097,0.94
"268",72,9,9360,0.5,-0.0302714732007878,0.03639083593079,0.95
"269",73,9,9490,0.5,-0.00146810384579521,0.0393729558551197,0.92
"270",74,9,9620,0.5,0.0109153224435602,0.0296908660931449,0.97
"271",75,9,9750,0.5,0.0150848540147897,0.0261025619620975,0.97
"272",76,9,9880,0.5,-0.00561746287765419,0.0346821969656824,0.94
"273",77,8,9240,0.5,0.00278424933513566,0.0311342023138233,0.92
"274",78,8,9360,0.5,0.0244850707846551,0.0357270773165706,0.9
"275",79,8,9480,0.5,-0.00838049995555284,0.0340589759614465,0.93
"276",80,8,9600,0.5,0.0210429863443288,0.0292829896059223,0.95
"277",81,8,9720,0.5,-0.0146377801210983,0.0339319048426884,0.93
"278",82,8,9840,0.5,-0.00735654287775522,0.0283381012496785,0.94
"279",83,8,9960,0.5,-0.0097648584163913,0.0329512737055319,0.96
"280",84,7,9240,0.5,0.00656545876287828,0.0326917289269583,0.97
"281",85,7,9350,0.5,0.0268177691737206,0.0246157918812203,0.98
