"","G","R","total_cost","gamma2","bias","mse","coverage"
"2314",138,3,9660,2.3,-0.0112489090364304,0.084501031426167,0.91
"2315",139,3,9730,2.3,-0.0520416035075347,0.0804881960279855,0.95
"2316",140,3,9800,2.3,-0.0083925955725726,0.052906068124328,0.98
"2317",141,3,9870,2.3,0.0144066930936412,0.0713986411791723,0.95
"2318",142,3,9940,2.3,0.0199961945987477,0.0746573419401528,0.96
"2319",143,2,8580,2.3,-0.000935748567290173,0.0702759108179498,0.95
"2320",144,2,8640,2.3,-0.0192933548709202,0.0660063237491066,0.95
"2321",145,2,8700,2.3,0.0671000471478399,0.0830073372001778,0.9
"2322",146,2,8760,2.3,0.0191089281268083,0.0544932910961581,0.96
"2323",147,2,8820,2.3,0.0333503258860048,0.0835980562991774,0.96
"2324",148,2,8880,2.3,-0.0388628780683494,0.093918903778075,0.88
"2325",149,2,8940,2.3,6.382418610551e-05,0.071912046868237,0.96
"2326",150,2,9000,2.3,0.0134811442639311,0.0560389712940965,0.97
"2327",151,2,9060,2.3,-0.0619998245557704,0.0765421612968004,0.96
"2328",152,2,9120,2.3,0.028772804950296,0.0646943968321569,0.97
"2329",153,2,9180,2.3,-0.0363685359368859,0.0891075471698724,0.91
"2330",154,2,9240,2.3,-0.0037748828410169,0.0779927881968676,0.93
"2331",155,2,9300,2.3,-0.0133129217337213,0.0731763302890832,0.98
"2332",156,2,9360,2.3,0.00288808662891249,0.0700751794150219,0.94
"2333",157,2,9420,2.3,0.00298738290272249,0.0624132087185302,1
"2334",158,2,9480,2.3,0.00442779994243436,0.0574580459365417,0.98
"2335",159,2,9540,2.3,-0.00372298701405549,0.0907878591193481,0.88
"2336",160,2,9600,2.3,0.00044366905933535,0.0719546102966539,0.95
"2337",161,2,9660,2.3,0.00446516843885836,0.0633306378255335,0.94
"2338",162,2,9720,2.3,0.00532398686863522,0.0723860986787194,0.94
"2339",163,2,9780,2.3,0.0123929666458614,0.062073752612896,0.97
"2340",164,2,9840,2.3,-0.000741301662264271,0.066277729876117,0.95
"2341",165,2,9900,2.3,0.000249682527868944,0.0899119603382745,0.92
"2342",166,2,9960,2.3,0.00501282737556974,0.0659794837595448,0.97
"2343",167,1,8350,2.3,-0.0275630712136719,0.0544910111136195,0.99
"2344",168,1,8400,2.3,-0.0356360730803486,0.0831134821237976,0.96
"2345",169,1,8450,2.3,0.0451524445595761,0.0757059026392086,0.94
"2346",170,1,8500,2.3,0.00898356968377845,0.0710558783761342,0.96
"2347",171,1,8550,2.3,-0.0174573248074692,0.0732801006421222,0.95
"2348",172,1,8600,2.3,0.0264663048857077,0.0841830284664922,0.95
"2349",173,1,8650,2.3,-0.0343900466804227,0.0933351905021826,0.94
"2350",174,1,8700,2.3,-0.0245373545043066,0.0815506470436492,0.94
"2351",175,1,8750,2.3,-0.00486638282645396,0.065087400033329,0.95
"2352",176,1,8800,2.3,-0.00729274641018363,0.0657791050536999,0.98
"2353",177,1,8850,2.3,0.0070950491588816,0.0808744815158387,0.95
"2354",178,1,8900,2.3,0.0223424796410898,0.0821854657591939,0.92
"2355",179,1,8950,2.3,-0.0308771743409653,0.0620066756216529,0.98
"2356",180,1,9000,2.3,0.0265892554159721,0.0840177696861028,0.92
"2357",181,1,9050,2.3,0.010379928352373,0.0592954759982923,0.98
"2358",182,1,9100,2.3,-0.0175300868362561,0.0821838861856358,0.93
"2359",183,1,9150,2.3,-0.0269562668237409,0.0585656021433283,0.98
"2360",184,1,9200,2.3,-0.0349268541468797,0.0653972491774085,0.94
"2361",185,1,9250,2.3,-0.000977688106849284,0.0718363986453265,0.94
"2362",186,1,9300,2.3,0.0204617005960315,0.0618315325315396,0.98
"2363",187,1,9350,2.3,0.0255481282577648,0.072517866406159,0.94
"2364",188,1,9400,2.3,0.0332882206158817,0.0570849096340937,0.95
"2365",189,1,9450,2.3,-0.013624516517289,0.0690038843722037,0.95
"2366",190,1,9500,2.3,0.0172013609119664,0.0709170738995369,0.96
"2367",191,1,9550,2.3,-0.0149515914264802,0.0641615747329026,0.94
"2368",192,1,9600,2.3,0.00415938477006472,0.0889192875160847,0.92
"2369",193,1,9650,2.3,0.0101920280621343,0.0685207820004649,0.95
"2370",194,1,9700,2.3,0.0149643150169496,0.0748367197788513,0.96
"2371",195,1,9750,2.3,0.0392179076419393,0.0669317777296015,0.95
"2372",196,1,9800,2.3,-0.00148914912932596,0.069240893393643,0.93
"2373",197,1,9850,2.3,0.0519084223094556,0.0525707730585475,0.98
"2374",198,1,9900,2.3,-0.00957582133868357,0.0606612060206451,0.94
"2375",199,1,9950,2.3,0.0339234401648463,0.0616256980524396,0.95
"2376",200,1,10000,2.3,0.0482160255559199,0.0662775828185258,0.95
"2377",3,329,9990,2.5,-0.105831090301313,3.29832437635219,0.56
"2378",4,246,10000,2.5,0.202806767673308,2.34123002047012,0.72
"2379",5,196,10000,2.5,0.140070051666225,1.79652742714931,0.79
