"","G","R","total_cost","alpha","bias","mse","coverage"
"735",143,2,8580,1.5,-0.0176908777467604,0.0202387363763028,0.98
"736",144,2,8640,1.5,-0.00056430925317752,0.0306094643146449,0.93
"737",145,2,8700,1.5,0.00169887617733244,0.0283125052487623,0.91
"738",146,2,8760,1.5,0.00637429431884107,0.0257683892288315,0.95
"739",147,2,8820,1.5,0.00864945388983418,0.0306813199999354,0.95
"740",148,2,8880,1.5,-0.00834395530829524,0.0308196586486834,0.93
"741",149,2,8940,1.5,0.000781498791755375,0.0259567771776961,0.95
"742",150,2,9000,1.5,0.0223636716549807,0.0256888152722824,0.97
"743",151,2,9060,1.5,0.0108316837978679,0.0222202446012283,0.97
"744",152,2,9120,1.5,0.0282819589543246,0.029712088969436,0.93
"745",153,2,9180,1.5,0.00893501295120447,0.028729496535023,0.94
"746",154,2,9240,1.5,0.0337711952911065,0.0241272403264647,0.96
"747",155,2,9300,1.5,-0.0101795857280614,0.0218653392834707,0.97
"748",156,2,9360,1.5,-0.00520568577636654,0.0225809531956962,0.95
"749",157,2,9420,1.5,-0.0123491208947815,0.0234923559822014,0.97
"750",158,2,9480,1.5,0.0161005746746883,0.0265560382127794,0.92
"751",159,2,9540,1.5,0.00856361279959672,0.0306815518461635,0.9
"752",160,2,9600,1.5,-0.000606855692073083,0.0326555395703687,0.92
"753",161,2,9660,1.5,-0.0187807239824576,0.0222421337484812,0.95
"754",162,2,9720,1.5,-0.00326294333748905,0.0217425085228689,0.96
"755",163,2,9780,1.5,-0.0355103355273334,0.0248187396437887,0.96
"756",164,2,9840,1.5,-0.0146419166819332,0.0208069026268277,0.96
"757",165,2,9900,1.5,0.00449990825012825,0.0266989761000031,0.96
"758",166,2,9960,1.5,-0.0117552330593564,0.0215257788442239,0.97
"759",167,1,8350,1.5,0.0197965821751496,0.0484682080079935,0.92
"760",168,1,8400,1.5,0.0242246632248133,0.0315189970563853,0.96
"761",169,1,8450,1.5,0.00960021904504704,0.0416701729546301,0.92
"762",170,1,8500,1.5,-0.0102159606712621,0.0306055780825092,0.95
"763",171,1,8550,1.5,0.0205026825002314,0.0330787675672964,0.94
"764",172,1,8600,1.5,-0.0151788466227881,0.0335602229888772,0.96
"765",173,1,8650,1.5,-0.036309346960626,0.0418622484512732,0.93
"766",174,1,8700,1.5,0.0132689949550407,0.0356428149984901,0.95
"767",175,1,8750,1.5,-0.0206149956893975,0.0408155411230132,0.93
"768",176,1,8800,1.5,3.95119498269869e-05,0.0360361309696939,0.93
"769",177,1,8850,1.5,-0.0221118377764484,0.028590855697989,0.95
"770",178,1,8900,1.5,0.00584266698633418,0.0415569654646798,0.95
"771",179,1,8950,1.5,-0.00925529710131967,0.0388068153933604,0.93
"772",180,1,9000,1.5,0.00379285462829471,0.0371572378302736,0.96
"773",181,1,9050,1.5,0.00110817108322447,0.0297378757979477,0.98
"774",182,1,9100,1.5,-0.00487820725974841,0.0326734136216454,0.94
"775",183,1,9150,1.5,0.00859026500570625,0.030343809462259,0.96
