"","G","R","total_cost","sigma2","bias","mse","coverage"
"207",11,86,9900,0.3,0.0049253514140245,0.184074125956098,0.9
"208",12,79,9960,0.3,-0.04392721147688,0.188765800893443,0.91
"209",13,72,9880,0.3,0.0250264336058349,0.163275226494879,0.89
"210",14,67,9940,0.3,-0.0134087538040036,0.134405756509431,0.92
"211",15,62,9900,0.3,0.0301586569681415,0.129421165126047,0.93
"212",16,58,9920,0.3,-0.00935620147628796,0.132864021112712,0.92
"213",17,54,9860,0.3,0.0514235348268017,0.114240070539677,0.92
"214",18,51,9900,0.3,-0.0228395665031093,0.135247425816917,0.87
"215",19,48,9880,0.3,0.00607790650032969,0.116609907393937,0.92
"216",20,46,10000,0.3,0.0601165058685461,0.108117577808163,0.91
"217",21,43,9870,0.3,0.0125902700573294,0.104001871441364,0.9
"218",22,41,9900,0.3,0.0235470625066833,0.0912981583451642,0.93
"219",23,39,9890,0.3,-0.0123385693378418,0.0873874253963073,0.95
"220",24,37,9840,0.3,-0.0304430737272163,0.0723404039298702,0.96
"221",25,36,10000,0.3,-0.0585779940854645,0.0950199986838613,0.89
"222",26,34,9880,0.3,0.0266658600799591,0.0958395231826904,0.91
"223",27,33,9990,0.3,-0.0104704741137442,0.0694881502965328,0.96
"224",28,31,9800,0.3,-0.0327063594097751,0.0764296127174144,0.95
"225",29,30,9860,0.3,0.00741971482493964,0.0704752301494085,0.96
